frame,gamepad,mouse_x,mouse_y,mouse_buttons,framebuffer_sha256,framebuffer_fnv1a,palette0,palette1,palette2,palette3,checkpoint
166,0,40,50,1,57b6c5e802f68f38f240e77ecd10762ada7911462a1857c18616e17888ca799f,a7ea657f,00e0f8cf,0086c06c,00306850,00071821,drag-point-b
167,0,40,50,0,23d44b1ee2f8fb19fab5dc1c6fda42c899ffb5dee79fc69c072b0f5fc43f8b1e,a1073b03,00e0f8cf,0086c06c,00306850,00071821,release-point-b
168,0,40,50,0,a92edee9c4bea0a494f65e60cfe6a21c91c5f5c01b2311b9d3ba9d411feaa540,9cb2ddb3,00e0f8cf,0086c06c,00306850,00071821,frame-168
169,0,40,50,0,a92edee9c4bea0a494f65e60cfe6a21c91c5f5c01b2311b9d3ba9d411feaa540,9cb2ddb3,00e0f8cf,0086c06c,00306850,00071821,frame-169
173,0,40,50,0,4b267eb0c66324c512bce891e35c2de89cdb1c899f85cc48222d6150b3f66a9f,117df007,00e0f8cf,0086c06c,00306850,00071821,frame-173
178,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-178
183,0,40,50,0,a92edee9c4bea0a494f65e60cfe6a21c91c5f5c01b2311b9d3ba9d411feaa540,9cb2ddb3,00e0f8cf,0086c06c,00306850,00071821,frame-183
193,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-193
194,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-194
250,0,40,50,0,5d4e41e32c9af391394983a1bf70c6c7f30e94f6b8b3db62e4d8ebf4524bcd43,8932507d,00e0f8cf,0086c06c,00306850,00071821,frame-250
300,0,40,50,0,d55f7e433e558b4a26e58395dfda8e98789fae70c25ade77bccffde5b452ac6d,f99b5ffd,00e0f8cf,0086c06c,00306850,00071821,frame-300
350,0,40,50,0,e41c3cf9a1345ae0d8079e947927b47cca1f4aa0b31517656900f0e103a373ff,32d545c1,00e0f8cf,0086c06c,00306850,00071821,frame-350
367,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-367
368,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-368
369,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-369
370,0,40,50,0,0185273196fafb30cafbe35144de501a7512f71f7ddebfa57fe951696602383b,c82187ab,00e0f8cf,0086c06c,00306850,00071821,frame-370
384,0,40,50,0,2bc0503cb964452ec41084fa925c3658c78b221149dc1cd7172c99e4fc5c3033,4e4a617b,00e0f8cf,0086c06c,00306850,00071821,frame-384
385,0,40,50,0,f4179030ae9fcf8e1e767f2a97eb636e93c2028004f53bf74bde7994216617e2,64061e59,00e0f8cf,0086c06c,00306850,00071821,frame-385
386,0,40,50,0,e81895b1a9dbbef15c65db531bb4d36eb5dc2a664b1ee8eb5fbe2093036d3cce,bc0231d9,00e0f8cf,0086c06c,00306850,00071821,frame-386
400,0,40,50,0,e81895b1a9dbbef15c65db531bb4d36eb5dc2a664b1ee8eb5fbe2093036d3cce,bc0231d9,00e0f8cf,0086c06c,00306850,00071821,win-arrow
